_key,_from,_to,predicate,timestamp,annotation,isNewDeviceForAccount,ipThreatScore,confidence,riskScore,firstSeen,lastSeen
E018,transactions/T005,attack_patterns/mule-ring,matchesPattern,,"transaction T005 matches attack pattern mule-ring with confidence 0.74; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.74,,,
E019,transactions/T005,fraud_signals/S002,triggeredSignal,,"transaction T005 triggered fraud signal S002 with risk score 0.99; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.99,,
E020,accounts/A023,transactions/T006,initiated,2026-05-01T11:46:00Z,account A023 initiated transaction T006 at 2026-05-01T11:46:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E021,transactions/T006,devices/D006,usedDevice,,"device D006 was used to execute transaction T006; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E022,transactions/T006,ips/IP008,originatedFrom,,transaction T006 originated from IP 203.0.113.18; the edge contributes network provenance and carries IP threat context with score 0.35.,,0.35,,,,
E023,accounts/A010,transactions/T007,initiated,2026-05-01T12:21:00Z,account A010 initiated transaction T007 at 2026-05-01T12:21:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E024,transactions/T007,devices/D001,usedDevice,,"device D001 was used to execute transaction T007; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E025,transactions/T007,ips/IP019,originatedFrom,,transaction T007 originated from IP 203.0.113.29; the edge contributes network provenance and carries IP threat context with score 0.55.,,0.55,,,,
E026,transactions/T007,attack_patterns/synthetic-identity,matchesPattern,,"transaction T007 matches attack pattern synthetic-identity with confidence 0.94; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.94,,,
E027,transactions/T007,fraud_signals/S003,triggeredSignal,,"transaction T007 triggered fraud signal S003 with risk score 0.99; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.99,,
E028,accounts/A029,transactions/T008,initiated,2026-05-01T13:10:00Z,account A029 initiated transaction T008 at 2026-05-01T13:10:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E029,transactions/T008,devices/D002,usedDevice,,"device D002 was used to execute transaction T008; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E030,transactions/T008,ips/IP012,originatedFrom,,transaction T008 originated from IP 203.0.113.22; the edge contributes network provenance and carries IP threat context with score 0.43.,,0.43,,,,
E031,accounts/A026,transactions/T009,initiated,2026-05-01T13:50:00Z,account A026 initiated transaction T009 at 2026-05-01T13:50:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E032,transactions/T009,devices/D009,usedDevice,,"device D009 was used to execute transaction T009; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E033,transactions/T009,ips/IP003,originatedFrom,,transaction T009 originated from IP 203.0.113.13; the edge contributes network provenance and carries IP threat context with score 0.9.,,0.9,,,,
E034,accounts/A005,transactions/T010,initiated,2026-05-01T14:27:00Z,account A005 initiated transaction T010 at 2026-05-01T14:27:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E035,transactions/T010,devices/D005,usedDevice,,"device D005 was used to execute transaction T010; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E036,transactions/T010,ips/IP004,originatedFrom,,transaction T010 originated from IP 203.0.113.14; the edge contributes network provenance and carries IP threat context with score 0.23.,,0.23,,,,
E037,accounts/A029,transactions/T011,initiated,2026-05-01T14:55:00Z,account A029 initiated transaction T011 at 2026-05-01T14:55:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E038,transactions/T011,devices/D006,usedDevice,,"device D006 was used to execute transaction T011; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E039,transactions/T011,ips/IP011,originatedFrom,,transaction T011 originated from IP 203.0.113.21; the edge contributes network provenance and carries IP threat context with score 0.69.,,0.69,,,,
E040,transactions/T011,attack_patterns/mule-ring,matchesPattern,,"transaction T011 matches attack pattern mule-ring with confidence 0.69; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.69,,,
E041,transactions/T011,fraud_signals/S004,triggeredSignal,,"transaction T011 triggered fraud signal S004 with risk score 0.99; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.99,,
E042,accounts/A011,transactions/T012,initiated,2026-05-01T15:38:00Z,account A011 initiated transaction T012 at 2026-05-01T15:38:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E043,transactions/T012,devices/D003,usedDevice,,"device D003 was used to execute transaction T012; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E044,transactions/T012,ips/IP009,originatedFrom,,transaction T012 originated from IP 203.0.113.19; the edge contributes network provenance and carries IP threat context with score 0.47.,,0.47,,,,
E045,accounts/A004,transactions/T013,initiated,2026-05-01T16:12:00Z,account A004 initiated transaction T013 at 2026-05-01T16:12:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E046,transactions/T013,devices/D002,usedDevice,,"device D002 was used to execute transaction T013; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E047,transactions/T013,ips/IP005,originatedFrom,,transaction T013 originated from IP 203.0.113.15; the edge contributes network provenance and carries IP threat context with score 0.29.,,0.29,,,,
E048,accounts/A002,transactions/T014,initiated,2026-05-01T16:39:00Z,account A002 initiated transaction T014 at 2026-05-01T16:39:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E049,transactions/T014,devices/D005,usedDevice,,"device D005 was used to execute transaction T014; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E050,transactions/T014,ips/IP012,originatedFrom,,transaction T014 originated from IP 203.0.113.22; the edge contributes network provenance and carries IP threat context with score 0.43.,,0.43,,,,
E051,accounts/A012,transactions/T015,initiated,2026-05-01T17:19:00Z,account A012 initiated transaction T015 at 2026-05-01T17:19:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E052,transactions/T015,devices/D009,usedDevice,,"device D009 was used to execute transaction T015; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E053,transactions/T015,ips/IP014,originatedFrom,,transaction T015 originated from IP 203.0.113.24; the edge contributes network provenance and carries IP threat context with score 0.48.,,0.48,,,,
E054,accounts/A026,transactions/T016,initiated,2026-05-01T18:02:00Z,account A026 initiated transaction T016 at 2026-05-01T18:02:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E055,transactions/T016,devices/D003,usedDevice,,"device D003 was used to execute transaction T016; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E056,transactions/T016,ips/IP014,originatedFrom,,transaction T016 originated from IP 203.0.113.24; the edge contributes network provenance and carries IP threat context with score 0.48.,,0.48,,,,
E057,accounts/A026,transactions/T017,initiated,2026-05-01T18:44:00Z,account A026 initiated transaction T017 at 2026-05-01T18:44:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E058,transactions/T017,devices/D002,usedDevice,,"device D002 was used to execute transaction T017; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E059,transactions/T017,ips/IP013,originatedFrom,,transaction T017 originated from IP 203.0.113.23; the edge contributes network provenance and carries IP threat context with score 0.37.,,0.37,,,,
E060,accounts/A027,transactions/T018,initiated,2026-05-01T19:12:00Z,account A027 initiated transaction T018 at 2026-05-01T19:12:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E061,transactions/T018,devices/D004,usedDevice,,"device D004 was used to execute transaction T018; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E062,transactions/T018,ips/IP007,originatedFrom,,transaction T018 originated from IP 203.0.113.17; the edge contributes network provenance and carries IP threat context with score 0.73.,,0.73,,,,
E063,accounts/A025,transactions/T019,initiated,2026-05-01T19:55:00Z,account A025 initiated transaction T019 at 2026-05-01T19:55:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E064,transactions/T019,devices/D005,usedDevice,,"device D005 was used to execute transaction T019; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E065,transactions/T019,ips/IP012,originatedFrom,,transaction T019 originated from IP 203.0.113.22; the edge contributes network provenance and carries IP threat context with score 0.43.,,0.43,,,,
E066,accounts/A009,transactions/T020,initiated,2026-05-01T20:28:00Z,account A009 initiated transaction T020 at 2026-05-01T20:28:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E067,transactions/T020,devices/D003,usedDevice,,"device D003 was used to execute transaction T020; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E068,transactions/T020,ips/IP019,originatedFrom,,transaction T020 originated from IP 203.0.113.29; the edge contributes network provenance and carries IP threat context with score 0.55.,,0.55,,,,
E069,accounts/A026,transactions/T021,initiated,2026-05-01T21:13:00Z,account A026 initiated transaction T021 at 2026-05-01T21:13:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E070,transactions/T021,devices/D006,usedDevice,,"device D006 was used to execute transaction T021; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E071,transactions/T021,ips/IP014,originatedFrom,,transaction T021 originated from IP 203.0.113.24; the edge contributes network provenance and carries IP threat context with score 0.48.,,0.48,,,,
E072,accounts/A029,transactions/T022,initiated,2026-05-01T21:36:00Z,account A029 initiated transaction T022 at 2026-05-01T21:36:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E073,transactions/T022,devices/D007,usedDevice,,"device D007 was used to execute transaction T022; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E074,transactions/T022,ips/IP007,originatedFrom,,transaction T022 originated from IP 203.0.113.17; the edge contributes network provenance and carries IP threat context with score 0.73.,,0.73,,,,
E075,transactions/T022,attack_patterns/account-takeover,matchesPattern,,"transaction T022 matches attack pattern account-takeover with confidence 0.88; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.88,,,
E076,transactions/T022,fraud_signals/S005,triggeredSignal,,"transaction T022 triggered fraud signal S005 with risk score 0.99; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.99,,
E077,accounts/A018,transactions/T023,initiated,2026-05-01T22:20:00Z,account A018 initiated transaction T023 at 2026-05-01T22:20:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E078,transactions/T023,devices/D009,usedDevice,,"device D009 was used to execute transaction T023; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E079,transactions/T023,ips/IP017,originatedFrom,,transaction T023 originated from IP 203.0.113.27; the edge contributes network provenance and carries IP threat context with score 0.71.,,0.71,,,,
E080,transactions/T023,attack_patterns/card-testing,matchesPattern,,"transaction T023 matches attack pattern card-testing with confidence 0.87; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.87,,,
E081,transactions/T023,fraud_signals/S006,triggeredSignal,,"transaction T023 triggered fraud signal S006 with risk score 0.98; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.98,,
E082,accounts/A029,transactions/T024,initiated,2026-05-01T22:48:00Z,account A029 initiated transaction T024 at 2026-05-01T22:48:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E083,transactions/T024,devices/D003,usedDevice,,"device D003 was used to execute transaction T024; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E084,transactions/T024,ips/IP010,originatedFrom,,transaction T024 originated from IP 203.0.113.20; the edge contributes network provenance and carries IP threat context with score 0.37.,,0.37,,,,
E085,accounts/A019,transactions/T025,initiated,2026-05-01T23:39:00Z,account A019 initiated transaction T025 at 2026-05-01T23:39:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E086,transactions/T025,devices/D010,usedDevice,,"device D010 was used to execute transaction T025; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E087,transactions/T025,ips/IP011,originatedFrom,,transaction T025 originated from IP 203.0.113.21; the edge contributes network provenance and carries IP threat context with score 0.69.,,0.69,,,,
E088,accounts/A026,transactions/T026,initiated,2026-05-02T00:22:00Z,account A026 initiated transaction T026 at 2026-05-02T00:22:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E089,transactions/T026,devices/D003,usedDevice,,"device D003 was used to execute transaction T026; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E090,transactions/T026,ips/IP003,originatedFrom,,transaction T026 originated from IP 203.0.113.13; the edge contributes network provenance and carries IP threat context with score 0.9.,,0.9,,,,
E091,accounts/A025,transactions/T027,initiated,2026-05-02T00:45:00Z,account A025 initiated transaction T027 at 2026-05-02T00:45:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E092,transactions/T027,devices/D004,usedDevice,,"device D004 was used to execute transaction T027; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E093,transactions/T027,ips/IP011,originatedFrom,,transaction T027 originated from IP 203.0.113.21; the edge contributes network provenance and carries IP threat context with score 0.69.,,0.69,,,,
E094,accounts/A016,transactions/T028,initiated,2026-05-02T01:36:00Z,account A016 initiated transaction T028 at 2026-05-02T01:36:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E095,transactions/T028,devices/D010,usedDevice,,"device D010 was used to execute transaction T028; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E096,transactions/T028,ips/IP003,originatedFrom,,transaction T028 originated from IP 203.0.113.13; the edge contributes network provenance and carries IP threat context with score 0.9.,,0.9,,,,
E097,accounts/A008,transactions/T029,initiated,2026-05-02T01:56:00Z,account A008 initiated transaction T029 at 2026-05-02T01:56:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E098,transactions/T029,devices/D003,usedDevice,,"device D003 was used to execute transaction T029; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E099,transactions/T029,ips/IP001,originatedFrom,,transaction T029 originated from IP 203.0.113.11; the edge contributes network provenance and carries IP threat context with score 0.52.,,0.52,,,,
E100,accounts/A023,transactions/T030,initiated,2026-05-02T02:37:00Z,account A023 initiated transaction T030 at 2026-05-02T02:37:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E101,transactions/T030,devices/D009,usedDevice,,"device D009 was used to execute transaction T030; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E102,transactions/T030,ips/IP015,originatedFrom,,transaction T030 originated from IP 203.0.113.25; the edge contributes network provenance and carries IP threat context with score 0.4.,,0.4,,,,
E103,accounts/A022,transactions/T031,initiated,2026-05-02T03:21:00Z,account A022 initiated transaction T031 at 2026-05-02T03:21:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E104,transactions/T031,devices/D009,usedDevice,,"device D009 was used to execute transaction T031; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E105,transactions/T031,ips/IP018,originatedFrom,,transaction T031 originated from IP 203.0.113.28; the edge contributes network provenance and carries IP threat context with score 0.05.,,0.05,,,,
E106,accounts/A018,transactions/T032,initiated,2026-05-02T03:51:00Z,account A018 initiated transaction T032 at 2026-05-02T03:51:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E107,transactions/T032,devices/D008,usedDevice,,"device D008 was used to execute transaction T032; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E108,transactions/T032,ips/IP016,originatedFrom,,transaction T032 originated from IP 203.0.113.26; the edge contributes network provenance and carries IP threat context with score 0.3.,,0.3,,,,
E109,accounts/A018,transactions/T033,initiated,2026-05-02T04:31:00Z,account A018 initiated transaction T033 at 2026-05-02T04:31:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E110,transactions/T033,devices/D008,usedDevice,,"device D008 was used to execute transaction T033; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E111,transactions/T033,ips/IP011,originatedFrom,,transaction T033 originated from IP 203.0.113.21; the edge contributes network provenance and carries IP threat context with score 0.69.,,0.69,,,,
E112,transactions/T033,attack_patterns/synthetic-identity,matchesPattern,,"transaction T033 matches attack pattern synthetic-identity with confidence 0.74; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.74,,,
E113,transactions/T033,fraud_signals/S007,triggeredSignal,,"transaction T033 triggered fraud signal S007 with risk score 0.95; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.95,,
E114,accounts/A023,transactions/T034,initiated,2026-05-02T05:11:00Z,account A023 initiated transaction T034 at 2026-05-02T05:11:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E115,transactions/T034,devices/D003,usedDevice,,"device D003 was used to execute transaction T034; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E116,transactions/T034,ips/IP007,originatedFrom,,transaction T034 originated from IP 203.0.113.17; the edge contributes network provenance and carries IP threat context with score 0.73.,,0.73,,,,
E117,accounts/A007,transactions/T035,initiated,2026-05-02T05:53:00Z,account A007 initiated transaction T035 at 2026-05-02T05:53:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E118,transactions/T035,devices/D007,usedDevice,,"device D007 was used to execute transaction T035; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E119,transactions/T035,ips/IP013,originatedFrom,,transaction T035 originated from IP 203.0.113.23; the edge contributes network provenance and carries IP threat context with score 0.37.,,0.37,,,,
E120,accounts/A012,transactions/T036,initiated,2026-05-02T06:25:00Z,account A012 initiated transaction T036 at 2026-05-02T06:25:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E121,transactions/T036,devices/D005,usedDevice,,"device D005 was used to execute transaction T036; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E122,transactions/T036,ips/IP017,originatedFrom,,transaction T036 originated from IP 203.0.113.27; the edge contributes network provenance and carries IP threat context with score 0.71.,,0.71,,,,
E123,accounts/A009,transactions/T037,initiated,2026-05-02T06:59:00Z,account A009 initiated transaction T037 at 2026-05-02T06:59:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E124,transactions/T037,devices/D007,usedDevice,,"device D007 was used to execute transaction T037; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E125,transactions/T037,ips/IP016,originatedFrom,,transaction T037 originated from IP 203.0.113.26; the edge contributes network provenance and carries IP threat context with score 0.3.,,0.3,,,,
E126,accounts/A030,transactions/T038,initiated,2026-05-02T07:38:00Z,account A030 initiated transaction T038 at 2026-05-02T07:38:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E127,transactions/T038,devices/D003,usedDevice,,"device D003 was used to execute transaction T038; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E128,transactions/T038,ips/IP020,originatedFrom,,transaction T038 originated from IP 203.0.113.30; the edge contributes network provenance and carries IP threat context with score 0.47.,,0.47,,,,
E129,accounts/A014,transactions/T039,initiated,2026-05-02T08:11:00Z,account A014 initiated transaction T039 at 2026-05-02T08:11:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E130,transactions/T039,devices/D003,usedDevice,,"device D003 was used to execute transaction T039; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E131,transactions/T039,ips/IP015,originatedFrom,,transaction T039 originated from IP 203.0.113.25; the edge contributes network provenance and carries IP threat context with score 0.4.,,0.4,,,,
E132,accounts/A011,transactions/T040,initiated,2026-05-02T08:53:00Z,account A011 initiated transaction T040 at 2026-05-02T08:53:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E133,transactions/T040,devices/D007,usedDevice,,"device D007 was used to execute transaction T040; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E134,transactions/T040,ips/IP009,originatedFrom,,transaction T040 originated from IP 203.0.113.19; the edge contributes network provenance and carries IP threat context with score 0.47.,,0.47,,,,
E135,accounts/A024,transactions/T041,initiated,2026-05-02T09:19:00Z,account A024 initiated transaction T041 at 2026-05-02T09:19:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E136,transactions/T041,devices/D009,usedDevice,,"device D009 was used to execute transaction T041; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E137,transactions/T041,ips/IP011,originatedFrom,,transaction T041 originated from IP 203.0.113.21; the edge contributes network provenance and carries IP threat context with score 0.69.,,0.69,,,,
E138,transactions/T041,attack_patterns/synthetic-identity,matchesPattern,,"transaction T041 matches attack pattern synthetic-identity with confidence 0.74; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.74,,,
E139,transactions/T041,fraud_signals/S008,triggeredSignal,,"transaction T041 triggered fraud signal S008 with risk score 0.99; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.99,,
E140,accounts/A001,transactions/T042,initiated,2026-05-02T10:09:00Z,account A001 initiated transaction T042 at 2026-05-02T10:09:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E141,transactions/T042,devices/D010,usedDevice,,"device D010 was used to execute transaction T042; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E142,transactions/T042,ips/IP005,originatedFrom,,transaction T042 originated from IP 203.0.113.15; the edge contributes network provenance and carries IP threat context with score 0.29.,,0.29,,,,
E143,accounts/A009,transactions/T043,initiated,2026-05-02T10:34:00Z,account A009 initiated transaction T043 at 2026-05-02T10:34:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E144,transactions/T043,devices/D006,usedDevice,,"device D006 was used to execute transaction T043; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E145,transactions/T043,ips/IP006,originatedFrom,,transaction T043 originated from IP 203.0.113.16; the edge contributes network provenance and carries IP threat context with score 0.19.,,0.19,,,,
E146,accounts/A018,transactions/T044,initiated,2026-05-02T11:14:00Z,account A018 initiated transaction T044 at 2026-05-02T11:14:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E147,transactions/T044,devices/D010,usedDevice,,"device D010 was used to execute transaction T044; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E148,transactions/T044,ips/IP013,originatedFrom,,transaction T044 originated from IP 203.0.113.23; the edge contributes network provenance and carries IP threat context with score 0.37.,,0.37,,,,
E149,accounts/A025,transactions/T045,initiated,2026-05-02T12:03:00Z,account A025 initiated transaction T045 at 2026-05-02T12:03:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E150,transactions/T045,devices/D005,usedDevice,,"device D005 was used to execute transaction T045; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E151,transactions/T045,ips/IP003,originatedFrom,,transaction T045 originated from IP 203.0.113.13; the edge contributes network provenance and carries IP threat context with score 0.9.,,0.9,,,,
E152,accounts/A003,transactions/T046,initiated,2026-05-02T12:35:00Z,account A003 initiated transaction T046 at 2026-05-02T12:35:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E153,transactions/T046,devices/D009,usedDevice,,"device D009 was used to execute transaction T046; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E154,transactions/T046,ips/IP011,originatedFrom,,transaction T046 originated from IP 203.0.113.21; the edge contributes network provenance and carries IP threat context with score 0.69.,,0.69,,,,
