_key,@id,@type,transactionId,amount,currency,timestamp,channel,merchantCategory,decision,isFraud,annotation
T012,ex:transaction/T012,Transaction,T012,376.44,USD,2026-05-01T15:38:00Z,pos,gaming,review,False,"Transaction T012 is a pos gaming payment for 376.44 USD at 2026-05-01T15:38:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T013,ex:transaction/T013,Transaction,T013,67.74,USD,2026-05-01T16:12:00Z,pos,travel,approve,False,"Transaction T013 is a pos travel payment for 67.74 USD at 2026-05-01T16:12:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T014,ex:transaction/T014,Transaction,T014,1980.28,USD,2026-05-01T16:39:00Z,api,crypto_exchange,approve,False,"Transaction T014 is a api crypto_exchange payment for 1980.28 USD at 2026-05-01T16:39:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T015,ex:transaction/T015,Transaction,T015,2143.1,USD,2026-05-01T17:19:00Z,mobile,utility,approve,False,"Transaction T015 is a mobile utility payment for 2143.1 USD at 2026-05-01T17:19:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T016,ex:transaction/T016,Transaction,T016,78.91,USD,2026-05-01T18:02:00Z,atm,utility,approve,False,"Transaction T016 is a atm utility payment for 78.91 USD at 2026-05-01T18:02:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T017,ex:transaction/T017,Transaction,T017,1921.96,USD,2026-05-01T18:44:00Z,mobile,crypto_exchange,review,False,"Transaction T017 is a mobile crypto_exchange payment for 1921.96 USD at 2026-05-01T18:44:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T018,ex:transaction/T018,Transaction,T018,76.47,USD,2026-05-01T19:12:00Z,atm,money_transfer,approve,False,"Transaction T018 is a atm money_transfer payment for 76.47 USD at 2026-05-01T19:12:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T019,ex:transaction/T019,Transaction,T019,1420.22,USD,2026-05-01T19:55:00Z,pos,money_transfer,approve,False,"Transaction T019 is a pos money_transfer payment for 1420.22 USD at 2026-05-01T19:55:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T020,ex:transaction/T020,Transaction,T020,2118.51,USD,2026-05-01T20:28:00Z,web,electronics,review,False,"Transaction T020 is a web electronics payment for 2118.51 USD at 2026-05-01T20:28:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T021,ex:transaction/T021,Transaction,T021,1343.5,USD,2026-05-01T21:13:00Z,web,retail,approve,False,"Transaction T021 is a web retail payment for 1343.5 USD at 2026-05-01T21:13:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T022,ex:transaction/T022,Transaction,T022,3476.0,USD,2026-05-01T21:36:00Z,api,travel,review,True,"Transaction T022 is a api travel payment for 3476.0 USD at 2026-05-01T21:36:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T023,ex:transaction/T023,Transaction,T023,3115.58,USD,2026-05-01T22:20:00Z,pos,crypto_exchange,review,True,"Transaction T023 is a pos crypto_exchange payment for 3115.58 USD at 2026-05-01T22:20:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T024,ex:transaction/T024,Transaction,T024,908.21,USD,2026-05-01T22:48:00Z,api,money_transfer,approve,False,"Transaction T024 is a api money_transfer payment for 908.21 USD at 2026-05-01T22:48:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T025,ex:transaction/T025,Transaction,T025,1036.35,USD,2026-05-01T23:39:00Z,mobile,travel,review,False,"Transaction T025 is a mobile travel payment for 1036.35 USD at 2026-05-01T23:39:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T026,ex:transaction/T026,Transaction,T026,37.64,USD,2026-05-02T00:22:00Z,pos,money_transfer,approve,False,"Transaction T026 is a pos money_transfer payment for 37.64 USD at 2026-05-02T00:22:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T027,ex:transaction/T027,Transaction,T027,513.59,USD,2026-05-02T00:45:00Z,mobile,electronics,approve,False,"Transaction T027 is a mobile electronics payment for 513.59 USD at 2026-05-02T00:45:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T028,ex:transaction/T028,Transaction,T028,1015.53,USD,2026-05-02T01:36:00Z,pos,crypto_exchange,review,False,"Transaction T028 is a pos crypto_exchange payment for 1015.53 USD at 2026-05-02T01:36:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T029,ex:transaction/T029,Transaction,T029,1966.54,USD,2026-05-02T01:56:00Z,atm,crypto_exchange,approve,False,"Transaction T029 is a atm crypto_exchange payment for 1966.54 USD at 2026-05-02T01:56:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T030,ex:transaction/T030,Transaction,T030,134.22,USD,2026-05-02T02:37:00Z,web,retail,approve,False,"Transaction T030 is a web retail payment for 134.22 USD at 2026-05-02T02:37:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T031,ex:transaction/T031,Transaction,T031,1320.11,USD,2026-05-02T03:21:00Z,pos,utility,review,False,"Transaction T031 is a pos utility payment for 1320.11 USD at 2026-05-02T03:21:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T032,ex:transaction/T032,Transaction,T032,1003.9,USD,2026-05-02T03:51:00Z,api,utility,review,False,"Transaction T032 is a api utility payment for 1003.9 USD at 2026-05-02T03:51:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T033,ex:transaction/T033,Transaction,T033,2246.83,USD,2026-05-02T04:31:00Z,api,travel,review,True,"Transaction T033 is a api travel payment for 2246.83 USD at 2026-05-02T04:31:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T034,ex:transaction/T034,Transaction,T034,164.7,USD,2026-05-02T05:11:00Z,api,travel,review,False,"Transaction T034 is a api travel payment for 164.7 USD at 2026-05-02T05:11:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T035,ex:transaction/T035,Transaction,T035,1993.02,USD,2026-05-02T05:53:00Z,web,utility,review,False,"Transaction T035 is a web utility payment for 1993.02 USD at 2026-05-02T05:53:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T036,ex:transaction/T036,Transaction,T036,1881.25,USD,2026-05-02T06:25:00Z,pos,gaming,approve,False,"Transaction T036 is a pos gaming payment for 1881.25 USD at 2026-05-02T06:25:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T037,ex:transaction/T037,Transaction,T037,88.13,USD,2026-05-02T06:59:00Z,atm,gaming,approve,False,"Transaction T037 is a atm gaming payment for 88.13 USD at 2026-05-02T06:59:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T038,ex:transaction/T038,Transaction,T038,1186.72,USD,2026-05-02T07:38:00Z,pos,travel,approve,False,"Transaction T038 is a pos travel payment for 1186.72 USD at 2026-05-02T07:38:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T039,ex:transaction/T039,Transaction,T039,25.9,USD,2026-05-02T08:11:00Z,atm,money_transfer,approve,False,"Transaction T039 is a atm money_transfer payment for 25.9 USD at 2026-05-02T08:11:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T040,ex:transaction/T040,Transaction,T040,1660.62,USD,2026-05-02T08:53:00Z,api,utility,approve,False,"Transaction T040 is a api utility payment for 1660.62 USD at 2026-05-02T08:53:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T041,ex:transaction/T041,Transaction,T041,2149.51,USD,2026-05-02T09:19:00Z,web,utility,review,True,"Transaction T041 is a web utility payment for 2149.51 USD at 2026-05-02T09:19:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T042,ex:transaction/T042,Transaction,T042,543.84,USD,2026-05-02T10:09:00Z,web,travel,approve,False,"Transaction T042 is a web travel payment for 543.84 USD at 2026-05-02T10:09:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T043,ex:transaction/T043,Transaction,T043,1342.82,USD,2026-05-02T10:34:00Z,mobile,money_transfer,approve,False,"Transaction T043 is a mobile money_transfer payment for 1342.82 USD at 2026-05-02T10:34:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T044,ex:transaction/T044,Transaction,T044,887.72,USD,2026-05-02T11:14:00Z,web,travel,approve,False,"Transaction T044 is a web travel payment for 887.72 USD at 2026-05-02T11:14:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T045,ex:transaction/T045,Transaction,T045,1756.79,USD,2026-05-02T12:03:00Z,web,money_transfer,review,False,"Transaction T045 is a web money_transfer payment for 1756.79 USD at 2026-05-02T12:03:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T046,ex:transaction/T046,Transaction,T046,52.52,USD,2026-05-02T12:35:00Z,atm,electronics,review,False,"Transaction T046 is a atm electronics payment for 52.52 USD at 2026-05-02T12:35:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T047,ex:transaction/T047,Transaction,T047,972.18,USD,2026-05-02T13:15:00Z,api,travel,review,False,"Transaction T047 is a api travel payment for 972.18 USD at 2026-05-02T13:15:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T048,ex:transaction/T048,Transaction,T048,7896.18,USD,2026-05-02T13:38:00Z,api,retail,review,True,"Transaction T048 is a api retail payment for 7896.18 USD at 2026-05-02T13:38:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T049,ex:transaction/T049,Transaction,T049,87.42,USD,2026-05-02T14:23:00Z,mobile,retail,approve,False,"Transaction T049 is a mobile retail payment for 87.42 USD at 2026-05-02T14:23:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T050,ex:transaction/T050,Transaction,T050,1939.7,USD,2026-05-02T14:58:00Z,pos,electronics,approve,False,"Transaction T050 is a pos electronics payment for 1939.7 USD at 2026-05-02T14:58:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T051,ex:transaction/T051,Transaction,T051,1527.08,USD,2026-05-02T15:47:00Z,atm,retail,approve,False,"Transaction T051 is a atm retail payment for 1527.08 USD at 2026-05-02T15:47:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T052,ex:transaction/T052,Transaction,T052,40.21,USD,2026-05-02T16:22:00Z,api,retail,approve,False,"Transaction T052 is a api retail payment for 40.21 USD at 2026-05-02T16:22:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T053,ex:transaction/T053,Transaction,T053,2591.93,USD,2026-05-02T16:49:00Z,mobile,electronics,review,True,"Transaction T053 is a mobile electronics payment for 2591.93 USD at 2026-05-02T16:49:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T054,ex:transaction/T054,Transaction,T054,2075.24,USD,2026-05-02T17:33:00Z,api,gaming,review,True,"Transaction T054 is a api gaming payment for 2075.24 USD at 2026-05-02T17:33:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T055,ex:transaction/T055,Transaction,T055,1725.21,USD,2026-05-02T17:55:00Z,pos,crypto_exchange,review,True,"Transaction T055 is a pos crypto_exchange payment for 1725.21 USD at 2026-05-02T17:55:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T056,ex:transaction/T056,Transaction,T056,248.13,USD,2026-05-02T18:32:00Z,pos,money_transfer,review,False,"Transaction T056 is a pos money_transfer payment for 248.13 USD at 2026-05-02T18:32:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T057,ex:transaction/T057,Transaction,T057,574.14,USD,2026-05-02T19:24:00Z,web,utility,approve,False,"Transaction T057 is a web utility payment for 574.14 USD at 2026-05-02T19:24:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T058,ex:transaction/T058,Transaction,T058,355.01,USD,2026-05-02T20:04:00Z,api,electronics,approve,False,"Transaction T058 is a api electronics payment for 355.01 USD at 2026-05-02T20:04:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T059,ex:transaction/T059,Transaction,T059,1321.58,USD,2026-05-02T20:42:00Z,mobile,utility,review,False,"Transaction T059 is a mobile utility payment for 1321.58 USD at 2026-05-02T20:42:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T060,ex:transaction/T060,Transaction,T060,2178.32,USD,2026-05-02T21:09:00Z,pos,travel,approve,False,"Transaction T060 is a pos travel payment for 2178.32 USD at 2026-05-02T21:09:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T061,ex:transaction/T061,Transaction,T061,5951.75,USD,2026-05-02T21:45:00Z,web,crypto_exchange,review,True,"Transaction T061 is a web crypto_exchange payment for 5951.75 USD at 2026-05-02T21:45:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T062,ex:transaction/T062,Transaction,T062,1524.38,USD,2026-05-02T22:29:00Z,api,electronics,approve,False,"Transaction T062 is a api electronics payment for 1524.38 USD at 2026-05-02T22:29:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T063,ex:transaction/T063,Transaction,T063,6537.97,USD,2026-05-02T22:59:00Z,pos,gaming,review,True,"Transaction T063 is a pos gaming payment for 6537.97 USD at 2026-05-02T22:59:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T064,ex:transaction/T064,Transaction,T064,1822.92,USD,2026-05-02T23:30:00Z,web,crypto_exchange,approve,False,"Transaction T064 is a web crypto_exchange payment for 1822.92 USD at 2026-05-02T23:30:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T065,ex:transaction/T065,Transaction,T065,55.5,USD,2026-05-03T00:19:00Z,api,gaming,review,False,"Transaction T065 is a api gaming payment for 55.5 USD at 2026-05-03T00:19:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T066,ex:transaction/T066,Transaction,T066,5691.4,USD,2026-05-03T00:55:00Z,api,travel,review,True,"Transaction T066 is a api travel payment for 5691.4 USD at 2026-05-03T00:55:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T067,ex:transaction/T067,Transaction,T067,2092.96,USD,2026-05-03T01:27:00Z,pos,electronics,approve,False,"Transaction T067 is a pos electronics payment for 2092.96 USD at 2026-05-03T01:27:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T068,ex:transaction/T068,Transaction,T068,419.74,USD,2026-05-03T02:14:00Z,atm,gaming,review,False,"Transaction T068 is a atm gaming payment for 419.74 USD at 2026-05-03T02:14:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T069,ex:transaction/T069,Transaction,T069,749.95,USD,2026-05-03T02:36:00Z,mobile,money_transfer,review,False,"Transaction T069 is a mobile money_transfer payment for 749.95 USD at 2026-05-03T02:36:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T070,ex:transaction/T070,Transaction,T070,104.82,USD,2026-05-03T03:12:00Z,api,money_transfer,approve,False,"Transaction T070 is a api money_transfer payment for 104.82 USD at 2026-05-03T03:12:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T071,ex:transaction/T071,Transaction,T071,1819.22,USD,2026-05-03T03:47:00Z,pos,retail,review,False,"Transaction T071 is a pos retail payment for 1819.22 USD at 2026-05-03T03:47:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T072,ex:transaction/T072,Transaction,T072,5950.75,USD,2026-05-03T04:25:00Z,mobile,money_transfer,review,True,"Transaction T072 is a mobile money_transfer payment for 5950.75 USD at 2026-05-03T04:25:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T073,ex:transaction/T073,Transaction,T073,87.79,USD,2026-05-03T05:21:00Z,pos,utility,approve,False,"Transaction T073 is a pos utility payment for 87.79 USD at 2026-05-03T05:21:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T074,ex:transaction/T074,Transaction,T074,908.16,USD,2026-05-03T05:41:00Z,atm,electronics,review,True,"Transaction T074 is a atm electronics payment for 908.16 USD at 2026-05-03T05:41:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T075,ex:transaction/T075,Transaction,T075,1559.27,USD,2026-05-03T06:28:00Z,atm,retail,approve,False,"Transaction T075 is a atm retail payment for 1559.27 USD at 2026-05-03T06:28:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T076,ex:transaction/T076,Transaction,T076,2030.06,USD,2026-05-03T07:08:00Z,mobile,utility,approve,False,"Transaction T076 is a mobile utility payment for 2030.06 USD at 2026-05-03T07:08:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T077,ex:transaction/T077,Transaction,T077,2556.46,USD,2026-05-03T07:29:00Z,api,gaming,review,True,"Transaction T077 is a api gaming payment for 2556.46 USD at 2026-05-03T07:29:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T078,ex:transaction/T078,Transaction,T078,56.35,USD,2026-05-03T08:21:00Z,api,money_transfer,review,False,"Transaction T078 is a api money_transfer payment for 56.35 USD at 2026-05-03T08:21:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T079,ex:transaction/T079,Transaction,T079,1268.66,USD,2026-05-03T08:50:00Z,atm,electronics,approve,False,"Transaction T079 is a atm electronics payment for 1268.66 USD at 2026-05-03T08:50:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T080,ex:transaction/T080,Transaction,T080,2174.8,USD,2026-05-03T09:40:00Z,mobile,retail,approve,False,"Transaction T080 is a mobile retail payment for 2174.8 USD at 2026-05-03T09:40:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T081,ex:transaction/T081,Transaction,T081,1926.36,USD,2026-05-03T10:11:00Z,web,travel,review,False,"Transaction T081 is a web travel payment for 1926.36 USD at 2026-05-03T10:11:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T082,ex:transaction/T082,Transaction,T082,187.75,USD,2026-05-03T10:42:00Z,api,travel,review,False,"Transaction T082 is a api travel payment for 187.75 USD at 2026-05-03T10:42:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T083,ex:transaction/T083,Transaction,T083,851.52,USD,2026-05-03T11:21:00Z,atm,utility,approve,False,"Transaction T083 is a atm utility payment for 851.52 USD at 2026-05-03T11:21:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T084,ex:transaction/T084,Transaction,T084,1649.22,USD,2026-05-03T12:01:00Z,web,utility,approve,False,"Transaction T084 is a web utility payment for 1649.22 USD at 2026-05-03T12:01:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T085,ex:transaction/T085,Transaction,T085,125.03,USD,2026-05-03T12:26:00Z,api,money_transfer,approve,False,"Transaction T085 is a api money_transfer payment for 125.03 USD at 2026-05-03T12:26:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T086,ex:transaction/T086,Transaction,T086,1255.89,USD,2026-05-03T13:07:00Z,mobile,crypto_exchange,approve,False,"Transaction T086 is a mobile crypto_exchange payment for 1255.89 USD at 2026-05-03T13:07:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T087,ex:transaction/T087,Transaction,T087,2010.4,USD,2026-05-03T13:43:00Z,mobile,retail,approve,False,"Transaction T087 is a mobile retail payment for 2010.4 USD at 2026-05-03T13:43:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T088,ex:transaction/T088,Transaction,T088,1985.13,USD,2026-05-03T14:33:00Z,mobile,electronics,review,False,"Transaction T088 is a mobile electronics payment for 1985.13 USD at 2026-05-03T14:33:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T089,ex:transaction/T089,Transaction,T089,1526.43,USD,2026-05-03T15:07:00Z,api,crypto_exchange,review,False,"Transaction T089 is a api crypto_exchange payment for 1526.43 USD at 2026-05-03T15:07:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T090,ex:transaction/T090,Transaction,T090,1268.93,USD,2026-05-03T15:48:00Z,api,gaming,approve,False,"Transaction T090 is a api gaming payment for 1268.93 USD at 2026-05-03T15:48:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T091,ex:transaction/T091,Transaction,T091,5.93,USD,2026-05-03T16:08:00Z,pos,gaming,review,False,"Transaction T091 is a pos gaming payment for 5.93 USD at 2026-05-03T16:08:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T092,ex:transaction/T092,Transaction,T092,1345.37,USD,2026-05-03T16:55:00Z,mobile,gaming,approve,False,"Transaction T092 is a mobile gaming payment for 1345.37 USD at 2026-05-03T16:55:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
